--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
062.111  000.049  000.049: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/tohtml.lua
062.163  000.008  000.008: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/tutor.vim
062.259  000.055  000.055: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/zipPlugin.vim
062.660  000.138  000.138: require('cmp_cmdline')
062.671  000.198  000.060: sourcing /Users/leejaeseok/.local/share/nvim/lazy/cmp-cmdline/after/plugin/cmp_cmdline.lua
062.942  000.130  000.130: require('cmp_path')
062.951  000.186  000.056: sourcing /Users/leejaeseok/.local/share/nvim/lazy/cmp-path/after/plugin/cmp_path.lua
063.469  000.083  000.083: require('cmp_buffer.timer')
063.473  000.208  000.125: require('cmp_buffer.buffer')
063.475  000.299  000.090: require('cmp_buffer.source')
063.475  000.392  000.093: require('cmp_buffer')
063.482  000.450  000.058: sourcing /Users/leejaeseok/.local/share/nvim/lazy/cmp-buffer/after/plugin/cmp_buffer.lua
063.630  000.069  000.069: sourcing /Users/leejaeseok/.local/share/nvim/lazy/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
063.679  056.351  015.825: require('ashrock.lazy_init')
064.021  000.159  000.159: require('vim.lsp.buf')
064.051  000.371  000.211: require('ashrock.remap')
064.141  000.090  000.090: require('ashrock.autosync')
064.227  000.085  000.085: require('ashrock.bufonly')
065.662  000.082  000.082: require('tokyonight.config')
065.663  000.165  000.083: require('tokyonight')
065.847  000.094  000.094: require('tokyonight.util')
065.849  000.177  000.083: require('tokyonight.theme')
066.075  000.102  000.102: require('tokyonight.colors')
066.290  000.093  000.093: require('tokyonight.colors.storm')
066.561  000.186  000.186: require('tokyonight.hsluv')
066.942  000.130  000.130: require('tokyonight.groups')
067.724  002.275  001.421: sourcing /Users/leejaeseok/.local/share/nvim/lazy/tokyonight.nvim/colors/tokyonight-night.lua
067.947  061.114  001.735: require('ashrock')
